YouTube Playlist Export				
Published Date	Video URL	Channel	Title	Description
5/2/2019 11:16:56 AM	https://www.youtube.com/watch?v=ZOwfC09LnZM	Movieclips Indie	Blinded by the Light Trailer #1 (2019) | Movieclips Indie	"Check out the new trailer for Blinded by the Light starring Viveik Kalra! Let us know what you think in the comments below. ? Buy Tickets to Blinded by the Light: https://www.fandango.com/blinded-by-the-light-218537/movie-overview?cmp=Indie_YouTube_Desc Want to be notified of all the latest indie movies? Subscribe to the channel and click the bell icon to stay up to date. US Release Date:August 14, 2019 Starring: Viveik Kalra, Kulvinder Ghir, Meera Ganatra Directed By: Gurinder Chadha Synopsis: In 1987 during the austere days of Thatcher's Britain, a teenager learns to live life, understand his family and find his own voice through the music of Bruce Springsteen. Watch More: ? New Indie Trailers: http://bit.ly/2Ey7fYy ? Comedy Trailers: http://bit.ly/2D3uhdR ? Drama Trailers: http://bit.ly/2DjXQ7E Fuel Your Movie Obsession: ? Subscribe to INDIE: http://bit.ly/2Ewwuuf ? Watch Movieclips ORIGINALS: http://bit.ly/2D3sipV ? Like us on FACEBOOK: http://bit.ly/2DikvkY ? Follow us on TWITTER: http://bit.ly/2mgkaHb ? Follow us on INSTAGRAM: http://bit.ly/2mg0VNU Fandango MOVIECLIPS INDIE channel is the destination for all things related to indie, foreign, and documentary films. Subscribe to keep up with the latest festival news, art house openings, film reviews, and more."
5/2/2019 11:13:33 AM	https://www.youtube.com/watch?v=aFkw7nOOJhA	Movieclips Indie	Toni Morrison: The Pieces I Am Trailer #1 (2019) | Movieclips Indie	"Check out the new trailer for Toni Morrison: The Pieces I Am directed by Timothy Greenfield-Sanders! Let us know what you think in the comments below. ? Buy Tickets to Toni Morrison: The Pieces I Am: https://www.fandango.com/toni-morrison-the-pieces-i-am-217664/movie-overview?cmp=Indie_YouTube_Desc Want to be notified of all the latest indie movies? Subscribe to the channel and click the bell icon to stay up to date. US Release Date: June 21, 2019 Directed By: Timothy Greenfield-Sanders Synopsis: This artful and intimate meditation on the legendary story- teller examines her life, her works and the powerful themes she has confronted throughout her literary career. Watch More: ? New Indie Trailers: http://bit.ly/2Ey7fYy ? Indie Movie Guide: http://bit.ly/2mu9s0w ? Documentary Trailers: http://bit.ly/2AR1GSW Fuel Your Movie Obsession: ? Subscribe to INDIE: http://bit.ly/2Ewwuuf ? Watch Movieclips ORIGINALS: http://bit.ly/2D3sipV ? Like us on FACEBOOK: http://bit.ly/2DikvkY ? Follow us on TWITTER: http://bit.ly/2mgkaHb ? Follow us on INSTAGRAM: http://bit.ly/2mg0VNU Fandango MOVIECLIPS INDIE channel is the destination for all things related to indie, foreign, and documentary films. Subscribe to keep up with the latest festival news, art house openings, film reviews, and more."
5/2/2019 11:12:02 AM	https://www.youtube.com/watch?v=pM1SxDySB8o	Movieclips Indie	Ophelia Trailer #1 (2019) | Movieclips Indie	"Check out the new trailer for Ophelia starring Daisy Ridley! Let us know what you think in the comments below. ? Buy Tickets to Ophelia: https://www.fandango.com/ophelia-216904/movie-overview?cmp=Indie_YouTube_Desc Want to be notified of all the latest indie movies? Subscribe to the channel and click the bell icon to stay up to date. US Release Date: June 28, 2019 Starring: Daisy Ridley, Naomi Watts, Clive Owen Directed By: Claire McCarthy Synopsis: A re-imagining of Hamlet, told from Ophelia's perspective. Watch More: ? New Indie Trailers: http://bit.ly/2Ey7fYy ? Indie Movie Guide: http://bit.ly/2mu9s0w ? Drama Trailers: http://bit.ly/2DjXQ7E Fuel Your Movie Obsession: ? Subscribe to INDIE: http://bit.ly/2Ewwuuf ? Watch Movieclips ORIGINALS: http://bit.ly/2D3sipV ? Like us on FACEBOOK: http://bit.ly/2DikvkY ? Follow us on TWITTER: http://bit.ly/2mgkaHb ? Follow us on INSTAGRAM: http://bit.ly/2mg0VNU Fandango MOVIECLIPS INDIE channel is the destination for all things related to indie, foreign, and documentary films. Subscribe to keep up with the latest festival news, art house openings, film reviews, and more."
5/2/2019 11:11:31 AM	https://www.youtube.com/watch?v=mjDy1ClSg2E	Movieclips Indie	Perfect Trailer #2 (2019) | Movieclips Indie	"Check out the new trailer for Perfect starring Garrett Wareing! Let us know what you think in the comments below. ? Buy Tickets to Perfect: https://www.fandango.com/perfect-2018-210195/movie-overview?cmp=Indie_YouTube_Desc Want to be notified of all the latest indie movies? Subscribe to the channel and click the bell icon to stay up to date. US Release Date: March 11, 2018 Starring: Garrett Wareing, Courtney Eaton, Tao Okamoto Directed By: Eddie Alcazar Synopsis: A young man with a violent past enters a mysterious clinic where the patients wildly transform their bodies and minds using genetic engineering. Watch More: ? New Indie Trailers: http://bit.ly/2Ey7fYy ? Indie Movie Guide: http://bit.ly/2mu9s0w ? In Theaters This Week: http://bit.ly/2ExQ1Lb Fuel Your Movie Obsession: ? Subscribe to INDIE: http://bit.ly/2Ewwuuf ? Watch Movieclips ORIGINALS: http://bit.ly/2D3sipV ? Like us on FACEBOOK: http://bit.ly/2DikvkY ? Follow us on TWITTER: http://bit.ly/2mgkaHb ? Follow us on INSTAGRAM: http://bit.ly/2mg0VNU Fandango MOVIECLIPS INDIE channel is the destination for all things related to indie, foreign, and documentary films. Subscribe to keep up with the latest festival news, art house openings, film reviews, and more."
4/25/2019 2:20:49 PM	https://www.youtube.com/watch?v=RasU0WycRQc	Movieclips Indie	The Third Wife Trailer #1 (2019) | Movieclips Indie	"Check out the new trailer for The Third Wife starring Long Le Vu! Let us know what you think in the comments below. ? Buy Tickets to The Third Wife: https://www.fandango.com/the-third-wife-216735/movie-overview?cmp=Indie_YouTube_Desc Want to be notified of all the latest indie movies? Subscribe to the channel and click the bell icon to stay up to date. US Release Date: May 15, 2019 Starring: Long Le Vu, Mai Thu Huong Maya, Nguyen Phuong Tra My Directed By: Ash Mayfair Synopsis: 19th century rural Vietnam, fourteen-year-old May is ready to become the third wife of a wealthy landowner. Little did she know that her hidden desires will take her by surprise and force her to make a choice between living in safety and being free. Watch More: ? New Indie Trailers: http://bit.ly/2Ey7fYy ? Indie Movie Guide: http://bit.ly/2mu9s0w ? In Theaters This Week: http://bit.ly/2FrFEK1 ? International Trailers: http://bit.ly/2FvqaEY Fuel Your Movie Obsession: ? Subscribe to INDIE: http://bit.ly/2Ewwuuf ? Watch Movieclips ORIGINALS: http://bit.ly/2D3sipV ? Like us on FACEBOOK: http://bit.ly/2DikvkY ? Follow us on TWITTER: http://bit.ly/2mgkaHb ? Follow us on INSTAGRAM: http://bit.ly/2mg0VNU Fandango MOVIECLIPS INDIE channel is the destination for all things related to indie, foreign, and documentary films. Subscribe to keep up with the latest festival news, art house openings, film reviews, and more."
4/18/2019 2:52:54 PM	https://www.youtube.com/watch?v=oL7oNGpLkQU	Movieclips Indie	Skin Trailer #1 (2019) | Movieclips Indie	"Check out the new trailer for Skin starring Jamie Bell! Let us know what you think in the comments below. ? Buy Tickets to Skin: https://www.fandango.com/skin-2019-218569/movie-overview?cmp=Indie_YouTube_Desc Want to be notified of all the latest indie movies? Subscribe to the channel and click the bell icon to stay up to date. US Release Date: July 26, 2019 Starring: Jamie Bell, Danielle Macdonald, Daniel Henshall Directed By: Guy Nattiv Synopsis: A destitute young man, raised by racist skinheads and notorious among white supremacists, turns his back on hatred and violence to transform his life, with the help of a black activist and the woman he loves. Watch More: ? New Indie Trailers: http://bit.ly/2Ey7fYy ? Indie Movie Guide: http://bit.ly/2mu9s0w ? Drama Trailers: http://bit.ly/2DjXQ7E Fuel Your Movie Obsession: ? Subscribe to INDIE: http://bit.ly/2Ewwuuf ? Watch Movieclips ORIGINALS: http://bit.ly/2D3sipV ? Like us on FACEBOOK: http://bit.ly/2DikvkY ? Follow us on TWITTER: http://bit.ly/2mgkaHb ? Follow us on INSTAGRAM: http://bit.ly/2mg0VNU Fandango MOVIECLIPS INDIE channel is the destination for all things related to indie, foreign, and documentary films. Subscribe to keep up with the latest festival news, art house openings, film reviews, and more."
4/17/2019 11:13:06 AM	https://www.youtube.com/watch?v=EXkjFVaFJcQ	Movieclips Indie	We Have Always Lived in the Castle Trailer #1 | Movieclips Indie	"Check out the new Trailer for We Have Always Lived in the Castle starring Sebastian Stan! Let us know what you think in the comments below. ? Buy Tickets to We Have Always Lived in the Castle: https://www.fandango.com/we-have-always-lived-in-the-castle-218544/movie-overview?cmp=Indie_YouTube_Desc Want to be notified of all the latest indie movies? Subscribe to the channel and click the bell icon to stay up to date. US Release Date: May 17, 2019 Starring: Sebastian Stan, Alexandra Daddario, Joanne Crawford Directed By: Stacie Passon Synopsis: Merricat, Constance and their Uncle Julian live in isolation after experiencing a family tragedy six years earlier. When cousin Charles arrives to steal the family fortune, he also threatens a dark secret they've been hiding. Watch More: ? New Indie Trailers: http://bit.ly/2Ey7fYy ? Indie Movie Guide: http://bit.ly/2mu9s0w ? In Theaters This Week: http://bit.ly/2FrFEK1 ? Horror Trailers: http://bit.ly/2FqEjDh ? Comedy Trailers: http://bit.ly/2D3uhdR ? Action & Sci-Fi Trailers: http://bit.ly/2Doc5Zi ? Drama Trailers: http://bit.ly/2DjXQ7E ? Documentary Trailers: http://bit.ly/2AR1GSW ? International Trailers: http://bit.ly/2FvqaEY ? Movie Clips: http://bit.ly/2qTZMRE ? Behind the Scenes: http://bit.ly/2AQ16on Fuel Your Movie Obsession: ? Subscribe to INDIE: http://bit.ly/2Ewwuuf ? Watch Movieclips ORIGINALS: http://bit.ly/2D3sipV ? Like us on FACEBOOK: http://bit.ly/2DikvkY ? Follow us on TWITTER: http://bit.ly/2mgkaHb ? Follow us on INSTAGRAM: http://bit.ly/2mg0VNU Fandango MOVIECLIPS INDIE channel is the destination for all things related to indie, foreign, and documentary films. Subscribe to keep up with the latest festival news, art house openings, film reviews, and more."
4/15/2019 3:40:42 PM	https://www.youtube.com/watch?v=AGetemRDuVY	Movieclips Indie	Shadow Trailer #1 (2019) | Movieclips Indie	"Check out the new trailer for Shadow starring Chao Deng! Let us know what you think in the comments below. ? Buy Tickets to Shadow: https://www.fandango.com/shadow-2019-217701/movie-overview?cmp=Indie_YouTube_Desc Want to be notified of all the latest indie movies? Subscribe to the channel and click the bell icon to stay up to date. US Release Date: May 3, 2019 Starring: Chao Deng, Li Sun, Ryan Zheng Directed By: Yimou Zhang Synopsis: Life and intrigue in an ancient Chinese court. Watch More: ? New Indie Trailers: http://bit.ly/2Ey7fYy ? In Theaters This Week: http://bit.ly/2FrFEK1 ? Action & Sci-Fi Trailers: http://bit.ly/2Doc5Zi Fuel Your Movie Obsession: ? Subscribe to INDIE: http://bit.ly/2Ewwuuf ? Watch Movieclips ORIGINALS: http://bit.ly/2D3sipV ? Like us on FACEBOOK: http://bit.ly/2DikvkY ? Follow us on TWITTER: http://bit.ly/2mgkaHb ? Follow us on INSTAGRAM: http://bit.ly/2mg0VNU Fandango MOVIECLIPS INDIE channel is the destination for all things related to indie, foreign, and documentary films. Subscribe to keep up with the latest festival news, art house openings, film reviews, and more."
4/15/2019 12:16:44 PM	https://www.youtube.com/watch?v=dJyVO31579Q	Movieclips Indie	Girls of the Sun Trailer #1 (2019) | Movieclips Indie	"Check out the new trailer for Girls of the Sun starring Golshifteh Farahani! Let us know what you think in the comments below. ? Buy Tickets to Girls of the Sun: https://www.fandango.com/girls-of-the-sun-216376/movie-overview?cmp=Indie_YouTube_Desc Want to be notified of all the latest indie movies? Subscribe to the channel and click the bell icon to stay up to date. US Release Date: April 12, 2019 Starring: Golshifteh Farahani, Emmanuelle Bercot, Z?beyde Bulut Directed By: Eva Husson Synopsis: A Kurdish female battalion prepares to take back their town from extremists. Watch More: ? New Indie Trailers: http://bit.ly/2Ey7fYy ? Indie Movie Guide: http://bit.ly/2mu9s0w ? Drama Trailers: http://bit.ly/2DjXQ7E Fuel Your Movie Obsession: ? Subscribe to INDIE: http://bit.ly/2Ewwuuf ? Watch Movieclips ORIGINALS: http://bit.ly/2D3sipV ? Like us on FACEBOOK: http://bit.ly/2DikvkY ? Follow us on TWITTER: http://bit.ly/2mgkaHb ? Follow us on INSTAGRAM: http://bit.ly/2mg0VNU Fandango MOVIECLIPS INDIE channel is the destination for all things related to indie, foreign, and documentary films. Subscribe to keep up with the latest festival news, art house openings, film reviews, and more."
4/15/2019 12:13:55 PM	https://www.youtube.com/watch?v=Chy5sjUQ8pc	Movieclips Indie	Tell It to the Bees Trailer #1 (2019) | Movieclips Indie	"Check out the new trailer for Tell It to the Bees starring Anna Paquin! Let us know what you think in the comments below. ? Buy Tickets to Tell It to the Bees: https://www.fandango.com/tell-it-to-the-bees-216419/movie-overview?cmp=Indie_YouTube_Desc Want to be notified of all the latest indie movies? Subscribe to the channel and click the bell icon to stay up to date. US Release Date: May 3, 2019 Starring: Anna Paquin, Holliday Grainger, Gregor Selkirk Directed By: Annabel Jankel Synopsis: In 1950s small town Britain, a doctor develops a relationship with her young patient's mother. Watch More: ? New Indie Trailers: http://bit.ly/2Ey7fYy ? Indie Movie Guide: http://bit.ly/2mu9s0w ? Drama Trailers: http://bit.ly/2DjXQ7E Fuel Your Movie Obsession: ? Subscribe to INDIE: http://bit.ly/2Ewwuuf ? Watch Movieclips ORIGINALS: http://bit.ly/2D3sipV ? Like us on FACEBOOK: http://bit.ly/2DikvkY ? Follow us on TWITTER: http://bit.ly/2mgkaHb ? Follow us on INSTAGRAM: http://bit.ly/2mg0VNU Fandango MOVIECLIPS INDIE channel is the destination for all things related to indie, foreign, and documentary films. Subscribe to keep up with the latest festival news, art house openings, film reviews, and more."
